table_schema,table_name,column_name,data_type,is_nullable,column_default
public,activation_tokens,id,uuid,NO,gen_random_uuid()
public,activation_tokens,token,text,NO,null
public,activation_tokens,used_by,uuid,YES,null
public,activation_tokens,used_at,timestamp with time zone,YES,null
public,activation_tokens,created_at,timestamp with time zone,YES,now()
public,agendas,id,uuid,NO,gen_random_uuid()
public,agendas,date,date,NO,null
public,agendas,title,text,NO,null
public,agendas,description,text,YES,null
public,agendas,tag,text,YES,null
public,agendas,color,text,YES,null
public,agendas,start_time,time without time zone,YES,null
public,agendas,end_time,time without time zone,YES,null
public,agendas,teacher_id,uuid,NO,null
public,agendas,created_at,timestamp with time zone,NO,now()
public,ai_documents,id,uuid,NO,gen_random_uuid()
public,ai_documents,user_id,uuid,NO,null
public,ai_documents,document_type,text,NO,null
public,ai_documents,title,text,NO,null
public,ai_documents,subject,text,YES,null
public,ai_documents,class_level,text,YES,null
public,ai_documents,semester,text,YES,null
public,ai_documents,drive_file_id,text,YES,null
public,ai_documents,drive_file_url,text,YES,null
public,ai_documents,drive_folder_id,text,YES,null
public,ai_documents,mime_type,text,YES,null
public,ai_documents,is_public,boolean,YES,false
public,ai_documents,status,text,YES,'created'::text
public,ai_documents,created_at,timestamp with time zone,YES,now()
public,ai_documents,updated_at,timestamp with time zone,YES,now()
public,attendance_history,id,uuid,YES,null
public,attendance_history,date,date,YES,null
public,attendance_history,meeting_number,integer,YES,null
public,attendance_history,class_id,uuid,YES,null
public,attendance_history,subject_id,uuid,YES,null
public,attendance_history,teacher_id,uuid,YES,null
public,attendance_history,school_year_id,uuid,YES,null
public,attendance_history,status,text,YES,null
public,attendance_history,student_id,uuid,YES,null
public,attendance_history,class_name,text,YES,null
public,attendance_history,subject_name,text,YES,null
public,attendance_history,teacher_name,text,YES,null
public,attendance_records,id,uuid,NO,gen_random_uuid()
public,attendance_records,student_id,uuid,NO,null
public,attendance_records,subject_id,uuid,NO,null
public,attendance_records,class_id,uuid,NO,null
public,attendance_records,teacher_id,uuid,YES,null
public,attendance_records,school_year_id,uuid,YES,null
public,attendance_records,date,date,NO,null
public,attendance_records,meeting_number,integer,NO,null
public,attendance_records,status,text,NO,null
public,attendance_records,created_at,timestamp with time zone,YES,now()
public,classes,id,uuid,NO,gen_random_uuid()
public,classes,name,text,NO,null
public,classes,teacher_id,uuid,YES,null
public,google_drive_integrations,id,uuid,NO,gen_random_uuid()
public,google_drive_integrations,user_id,uuid,NO,null
public,google_drive_integrations,provider,text,NO,'google'::text
public,google_drive_integrations,drive_email,text,YES,null
public,google_drive_integrations,folder_id,text,YES,null
public,google_drive_integrations,folder_url,text,YES,null
public,google_drive_integrations,folder_name,text,YES,'LakuKelas AI'::text
public,google_drive_integrations,status,text,NO,'connected'::text
public,google_drive_integrations,connected_at,timestamp with time zone,YES,now()
public,google_drive_integrations,disconnected_at,timestamp with time zone,YES,null
public,google_drive_integrations,created_at,timestamp with time zone,YES,now()
public,google_drive_integrations,updated_at,timestamp with time zone,YES,now()
public,grade_records,id,uuid,NO,gen_random_uuid()
public,grade_records,student_id,uuid,NO,null
public,grade_records,subject_id,uuid,NO,null
public,grade_records,class_id,uuid,NO,null
public,grade_records,teacher_id,uuid,YES,null
public,grade_records,school_year_id,uuid,YES,null
public,grade_records,date,date,NO,null
public,grade_records,assessment_type,text,NO,null
public,grade_records,score,numeric,NO,null
public,grade_records,created_at,timestamp with time zone,YES,now()
public,grades_history,id,uuid,YES,null
public,grades_history,date,date,YES,null
public,grades_history,assessment_type,text,YES,null
public,grades_history,class_id,uuid,YES,null
public,grades_history,subject_id,uuid,YES,null
public,grades_history,teacher_id,uuid,YES,null
public,grades_history,school_year_id,uuid,YES,null
public,grades_history,score,numeric,YES,null
public,grades_history,student_id,uuid,YES,null
public,grades_history,class_name,text,YES,null
public,grades_history,subject_name,text,YES,null
public,grades_history,subject_kkm,integer,YES,null
public,grades_history,teacher_name,text,YES,null
public,holidays,id,uuid,NO,uuid_generate_v4()
public,holidays,date,date,NO,null
public,holidays,description,text,NO,null
public,holidays,created_at,timestamp with time zone,YES,now()
public,holidays,type,text,YES,'school'::text
public,journal_entries,id,uuid,NO,gen_random_uuid()
public,journal_entries,date,timestamp with time zone,NO,null
public,journal_entries,class_id,uuid,NO,null
public,journal_entries,subject_id,uuid,NO,null
public,journal_entries,meeting_number,integer,YES,null
